cod_resultado_fatec;codcursofatec;cod_curso;nome_curso;codfatec;cod_instituicao;instituicao;ano;semestre;periodo;qtde_vagas;qtde_inscrito;demanda;nota_corte;nota_maxima
0;274;0;Comércio Exterior;9;0;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;NOITE;0;0;0;63,800;94,250
0;253;0;Gestão de Serviços;9;0;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;MANHÃ;0;0;0;40,170;86,000
0;245;0;Gestão Empresarial;9;0;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;TARDE;0;0;0;47,000;93,225
0;245;0;Gestão Empresarial;9;0;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;NOITE;0;0;0;66,825;92,095
0;245;0;Gestão Empresarial;9;0;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;EAD;0;0;0;72,600;100,000
0;208;0;Logística Aeroportuária;9;0;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;MANHÃ;0;0;0;36,850;84,975
0;0;0;Redes de Computadores;9;0;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;MANHÃ;0;0;0;45,250;82,225
0;75;0;Agronegócio;27;0;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;NOITE;0;0;0;45,200;79,250
0;194;0;Análise e Desenvolvimento de Sistemas;27;0;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;MANHÃ;0;0;0;49,775;96,525
0;194;0;Análise e Desenvolvimento de Sistemas;27;0;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;NOITE;0;0;0;67,375;97,350
0;274;0;Comércio Exterior;27;0;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;MANHÃ;0;0;0;38,250;70,400
0;274;0;Comércio Exterior;27;0;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;NOITE;0;0;0;43,175;88,550
0;0;0;Gestão Ambiental;27;0;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;MANHÃ;0;0;0;31,350;83,750
0;94;0;Gestão da Produção Industrial;27;0;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;NOITE;0;0;0;50,325;77,688
0;245;0;Gestão Empresarial;27;0;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;EAD;0;0;0;68,750;86,075
0;275;0;Desenvolvimento de Software Multiplataforma;63;0;Fatec Itapira - Ogari de Castro Pacheco;2022;2;NOITE;0;0;0;56,100;89,650
0;94;0;Gestão da Produção Industrial;63;0;Fatec Itapira - Ogari de Castro Pacheco;2022;2;NOITE;0;0;0;42,250;82,775
0;245;0;Gestão Empresarial;63;0;Fatec Itapira - Ogari de Castro Pacheco;2022;2;NOITE;0;0;0;39,140;89,500
0;186;0;Gestão Comercial;22;0;Fatec Itaquaquecetuba;2022;2;NOITE;0;0;0;62,433;86,350
0;186;0;Gestão Comercial;22;0;Fatec Itaquaquecetuba;2022;2;TARDE;0;0;0;30,800;76,725
0;97;0;Gestão da Tecnologia da Informação;22;0;Fatec Itaquaquecetuba;2022;2;MANHÃ;0;0;0;57,065;90,200
0;245;0;Gestão Empresarial;22;0;Fatec Itaquaquecetuba;2022;2;EAD;0;0;0;69,250;89,100
0;0;0;Secretariado;22;0;Fatec Itaquaquecetuba;2022;2;NOITE;0;0;0;33,750;79,475
0;0;0;Secretariado;22;0;Fatec Itaquaquecetuba;2022;2;MANHÃ;0;0;0;24,578;78,818
0;275;0;Desenvolvimento de Software Multiplataforma;66;0;Fatec Itatiba;2022;2;TARDE;0;0;0;0;0
0;94;0;Gestão da Produção Industrial;66;0;Fatec Itatiba;2022;2;NOITE;0;0;0;44,918;92,125
0;245;0;Gestão Empresarial;66;0;Fatec Itatiba;2022;2;MANHÃ;0;0;0;0;0
0;194;0;Análise e Desenvolvimento de Sistemas;39;0;Fatec Itu - Dom Amaury Castanho;2022;2;MANHÃ;0;0;0;58,300;92,250
0;163;0;Eventos;39;0;Fatec Itu - Dom Amaury Castanho;2022;2;NOITE;0;0;0;23,448;88,275
0;97;0;Gestão da Tecnologia da Informação;39;0;Fatec Itu - Dom Amaury Castanho;2022;2;NOITE;0;0;0;59,125;84,000
0;245;0;Gestão Empresarial;39;0;Fatec Itu - Dom Amaury Castanho;2022;2;MANHÃ;0;0;0;28,000;75,145
0;245;0;Gestão Empresarial;39;0;Fatec Itu - Dom Amaury Castanho;2022;2;EAD;0;0;0;62,998;84,425
0;0;0;Mecatrônica Industrial;39;0;Fatec Itu - Dom Amaury Castanho;2022;2;MANHÃ;0;0;0;25,708;82,775
0;125;0;Biocombustíveis;36;0;Fatec Jaboticabal - Nilo de Stéfani;2022;2;MANHÃ;0;0;0;18,928;69,495
0;125;0;Biocombustíveis;36;0;Fatec Jaboticabal - Nilo de Stéfani;2022;2;NOITE;0;0;0;32,750;87,000
0;0;0;Gestão Ambiental;36;0;Fatec Jaboticabal - Nilo de Stéfani;2022;2;NOITE;0;0;0;17,000;78,925
0;245;0;Gestão Empresarial;36;0;Fatec Jaboticabal - Nilo de Stéfani;2022;2;EAD;0;0;0;66,825;87,250
0;259;0;Marketing;36;0;Fatec Jaboticabal - Nilo de Stéfani;2022;2;MANHÃ;0;0;0;24,200;84,468
0;0;0;Geoprocessamento;52;0;Fatec Jacareí- Prof. Francisco de Moura;2022;2;NOITE;0;0;0;46,865;95,425
0;0;0;Meio Ambiente e Recursos Hídricos;52;0;Fatec Jacareí- Prof. Francisco de Moura;2022;2;MANHÃ;0;0;0;35,200;78,100
0;75;0;Agronegócio;32;0;Fatec Jales - Prof. José Camargo;2022;2;NOITE;0;0;0;38,250;74,525
0;194;0;Análise e Desenvolvimento de Sistemas;32;0;Fatec Jales - Prof. José Camargo;2022;2;MANHÃ;0;0;0;48,400;86,075
0;245;0;Gestão Empresarial;32;0;Fatec Jales - Prof. José Camargo;2022;2;EAD;0;0;0;42,075;84,750
0;245;0;Gestão Empresarial;32;0;Fatec Jales - Prof. José Camargo;2022;2;NOITE;0;0;0;46,750;83,325
0;0;0;Sistemas para Internet;32;0;Fatec Jales - Prof. José Camargo;2022;2;NOITE;0;0;0;55,550;87,725
0;90;0;Construção Naval;5;0;Fatec Jahu;2022;2;MANHÃ;0;0;0;DESCL.;81,125
0;94;0;Gestão da Produção Industrial;5;0;Fatec Jahu;2022;2;NOITE;0;0;0;42,625;74,598
0;97;0;Gestão da Tecnologia da Informação;5;0;Fatec Jahu;2022;2;NOITE;0;0;0;58,575;100,000
0;245;0;Gestão Empresarial;5;0;Fatec Jahu;2022;2;EAD;0;0;0;64,750;81,400
0;179;0;Logística;5;0;Fatec Jahu;2022;2;NOITE;0;0;0;50,285;85,525
0;0;0;Meio Ambiente e Recursos Hídricos;5;0;Fatec Jahu;2022;2;MANHÃ;0;0;0;48,750;90,500
0;0;0;Sistemas Navais;5;0;Fatec Jahu;2022;2;MANHÃ;0;0;0;33,900;69,575
0;0;0;Sistemas para Internet;5;0;Fatec Jahu;2022;2;MANHÃ;0;0;0;45,100;84,750
0;194;0;Análise e Desenvolvimento de Sistemas;12;0;Fatec Jundiaí - Deputado Ary Fossen;2022;2;TARDE;0;0;0;72,875;94,355
0;0;0;Defesa Cibernética;12;0;Fatec Jundiaí - Deputado Ary Fossen;2022;2;NOITE;0;0;0;74,000;93,225
0;163;0;Eventos;12;0;Fatec Jundiaí - Deputado Ary Fossen;2022;2;MANHÃ;0;0;0;38,703;80,000
0;0;0;Gestão Ambiental;12;0;Fatec Jundiaí - Deputado Ary Fossen;2022;2;TARDE;0;0;0;DESCL.;94,600
0;97;0;Gestão da Tecnologia da Informação;12;0;Fatec Jundiaí - Deputado Ary Fossen;2022;2;NOITE;0;0;0;71,500;93,508
0;245;0;Gestão Empresarial;12;0;Fatec Jundiaí - Deputado Ary Fossen;2022;2;EAD;0;0;0;78,375;94,355
0;179;0;Logística;12;0;Fatec Jundiaí - Deputado Ary Fossen;2022;2;NOITE;0;0;0;64,625;90,965
0;179;0;Logística;12;0;Fatec Jundiaí - Deputado Ary Fossen;2022;2;MANHÃ;0;0;0;55,000;86,350
0;0;0;Sistemas Embarcados;12;0;Fatec Jundiaí - Deputado Ary Fossen;2022;2;MANHÃ;0;0;0;44,825;93,775
0;194;0;Análise e Desenvolvimento de Sistemas;44;0;Fatec Lins - Prof. Antonio Seabra;2022;2;NOITE;0;0;0;56,218;85,250
0;94;0;Gestão da Produção Industrial;44;0;Fatec Lins - Prof. Antonio Seabra;2022;2;MANHÃ;0;0;0;29,945;66,000
0;269;0;Gestão da Qualidade;44;0;Fatec Lins - Prof. Antonio Seabra;2022;2;NOITE;0;0;0;41,800;78,535
0;245;0;Gestão Empresarial;44;0;Fatec Lins - Prof. Antonio Seabra;2022;2;EAD;0;0;0;62,830;90,200
0;179;0;Logística;44;0;Fatec Lins - Prof. Antonio Seabra;2022;2;NOITE;0;0;0;39,833;85,250
0;0;0;Sistemas para Internet;44;0;Fatec Lins - Prof. Antonio Seabra;2022;2;MANHÃ;0;0;0;34,000;71,500
0;76;0;Alimentos;24;0;Fatec Marília - Estudante Rafael Almeida Camarinha;2022;2;MANHÃ;0;0;0;18,150;74,750
0;76;0;Alimentos;24;0;Fatec Marília - Estudante Rafael Almeida Camarinha;2022;2;NOITE;0;0;0;37,125;74,750
0;186;0;Gestão Comercial;24;0;Fatec Marília - Estudante Rafael Almeida Camarinha;2022;2;NOITE;0;0;0;43,788;75,428
0;245;0;Gestão Empresarial;24;0;Fatec Marília - Estudante Rafael Almeida Camarinha;2022;2;EAD;0;0;0;66,000;82,775
0;266;0;Análise de Processos Agroindustriais;73;0;Fatec Matão - Luiz Marchesan;2022;2;NOITE;0;0;0;54,523;79,200
0;275;0;Desenvolvimento de Software Multiplataforma;73;0;Fatec Matão - Luiz Marchesan;2022;2;MANHÃ;0;0;0;58,575;93,508
0;267;0;Desenvolvimento de Produtos Plásticos;11;0;Fatec Mauá;2022;2;MANHÃ;0;0;0;0;0
0;275;0;Desenvolvimento de Software Multiplataforma;11;0;Fatec Mauá;2022;2;NOITE;0;0;0;77,825;100,000
0;0;0;Fabricação Mecânica;11;0;Fatec Mauá;2022;2;MANHÃ;0;0;0;33,218;87,858
0;0;0;Fabricação Mecânica;11;0;Fatec Mauá;2022;2;NOITE;0;0;0;56,500;77,508
0;245;0;Gestão Empresarial;11;0;Fatec Mauá;2022;2;EAD;0;0;0;72,885;91,300
0;0;0;Informática para Negócios;11;0;Fatec Mauá;2022;2;NOITE;0;0;0;60,500;89,270
0;0;0;Informática para Negócios;11;0;Fatec Mauá;2022;2;MANHÃ;0;0;0;48,219;83,620
0;179;0;Logística;11;0;Fatec Mauá;2022;2;MANHÃ;0;0;0;45,100;85,315
0;179;0;Logística;11;0;Fatec Mauá;2022;2;NOITE;0;0;0;66,105;89,100
0;0;0;Polímeros;11;0;Fatec Mauá;2022;2;NOITE;0;0;0;45,750;92,943
0;75;0;Agronegócio;16;0;Fatec Mococa;2022;2;NOITE;0;0;0;29,000;78,818
