cod_curso;nome_curso;cod_instituicao;nome_instituicaoano;semestre;periodo;qtde_vagas;qtde_inscrito;demanda;nota_corte;nota_maxima
94;Gestão da Produção Industrial;19;Fatec Cruzeiro - Prof. Waldomiro May;2022;2;Noite;40;122;3.05;55.295;89.100
245;Gestão Empresarial;19;Fatec Cruzeiro - Prof. Waldomiro May;2022;2;EaD;20;87;4.35;64.075;90.475
245;Gestão Empresarial;19;Fatec Cruzeiro - Prof. Waldomiro May;2022;2;Tarde;40;72;1.80;46.250;89.500
248;Cosméticos;54;Fatec Diadema - Luigi Papaiz;2022;2;Manhã;40;51;1.28;33.618;89.650
248;Cosméticos;54;Fatec Diadema - Luigi Papaiz;2022;2;Noite;40;73;1.83;50.568;91.300
275;Desenvolvimento de Software Multiplataforma;54;Fatec Diadema - Luigi Papaiz;2022;2;Manhã;40;90;2.25;57.200;89.375
94;Gestão da Produção Industrial;54;Fatec Diadema - Luigi Papaiz;2022;2;Noite;40;120;3.00;56.500;88.275
194;Análise e Desenvolvimento de Sistemas;69;Fatec Ferraz de Vasconcelos;2022;2;Manhã;40;152;3.80;66.953;83.875
94;Gestão da Produção Industrial;69;Fatec Ferraz de Vasconcelos;2022;2;Noite;40;71;1.78;48.308;88.550
194;Análise e Desenvolvimento de Sistemas;43;Fatec Franca - Dr. Thomaz Novelino;2022;2;Manhã;40;109;2.73;64.625;95.150
194;Análise e Desenvolvimento de Sistemas;43;Fatec Franca - Dr. Thomaz Novelino;2022;2;Noite;40;336;8.40;75.075;95.150
275;Desenvolvimento de Software Multiplataforma;43;Fatec Franca - Dr. Thomaz Novelino;2022;2;Noite;40;150;3.75;72.600;92.950
94;Gestão da Produção Industrial;43;Fatec Franca - Dr. Thomaz Novelino;2022;2;Noite;40;70;1.75;48.025;86.445
94;Gestão da Produção Industrial;43;Fatec Franca - Dr. Thomaz Novelino;2022;2;Manhã;40;60;1.50;33.990;80.025
224;Gestão de Recursos Humanos;43;Fatec Franca - Dr. Thomaz Novelino;2022;2;Noite;40;110;2.75;55.825;96.250
224;Gestão de Recursos Humanos;43;Fatec Franca - Dr. Thomaz Novelino;2022;2;Manhã;40;65;1.63;37.927;89.250
245;Gestão Empresarial;43;Fatec Franca - Dr. Thomaz Novelino;2022;2;EaD;20;117;5.85;70.675;88.550
97;Gestão da Tecnologia da Informação;70;Fatec Franco da Rocha;2022;2;Noite;40;221;5.53;67.650;96.250
264;Gestão de Energia e Eficiência Energética;70;Fatec Franco da Rocha;2022;2;Noite;40;56;1.40;34.100;85.315
194;Análise e Desenvolvimento de Sistemas;15;Fatec Garça - Dep. Julio Julinho Marcondes de Moura;2022;2;Noite;40;109;2.73;59.500;84.425
194;Análise e Desenvolvimento de Sistemas;15;Fatec Garça - Dep. Julio Julinho Marcondes de Moura;2022;2;Manhã;40;64;1.60;42.350;80.513
245;Gestão Empresarial;15;Fatec Garça - Dep. Julio Julinho Marcondes de Moura;2022;2;EaD;20;33;1.65;50.250;74.015
245;Gestão Empresarial;15;Fatec Garça - Dep. Julio Julinho Marcondes de Moura;2022;2;Manhã;40;64;1.60;38.138;73.150
245;Gestão Empresarial;15;Fatec Garça - Dep. Julio Julinho Marcondes de Moura;2022;2;Noite;40;60;1.50;40.115;73.733
263;Manufatura Avançada;15;Fatec Garça - Dep. Julio Julinho Marcondes de Moura;2022;2;Manhã;0;0;0;0;0
111;Mecatrônica Industrial;15;Fatec Garça - Dep. Julio Julinho Marcondes de Moura;2022;2;Noite;40;65;1.63;34.925;80.795
194;Análise e Desenvolvimento de Sistemas;8;Fatec Guaratinguetá - Prof. João Mod;2022;2;Tarde;40;100;2.50;61.875;96.615
186;Gestão Comercial;8;Fatec Guaratinguetá - Prof. João Mod;2022;2;Noite;40;55;1.38;40.700;77.825
94;Gestão da Produção Industrial;8;Fatec Guaratinguetá - Prof. João Mod;2022;2;Noite;40;69;1.73;48.750;100.000
97;Gestão da Tecnologia da Informação;8;Fatec Guaratinguetá - Prof. João Mod;2022;2;Noite;40;127;3.18;64.410;100.000
245;Gestão Empresarial;8;Fatec Guaratinguetá - Prof. João Mod;2022;2;EaD;20;71;3.55;64.075;90.125
245;Gestão Empresarial;8;Fatec Guaratinguetá - Prof. João Mod;2022;2;Noite;40;97;2.43;60.775;98.725
187;Gestão Financeira;8;Fatec Guaratinguetá - Prof. João Mod;2022;2;Noite;40;62;1.55;44.635;85.250
179;Logística;8;Fatec Guaratinguetá - Prof. João Mod;2022;2;Noite;40;87;2.18;52.800;89.100
194;Análise e Desenvolvimento de Sistemas;31;Fatec Guarulhos;2022;2;Tarde;40;199;4.98;67.375;88.000
274;Comércio Exterior;31;Fatec Guarulhos;2022;2;Manhã;40;58;1.45;48.153;92.125
94;Gestão da Produção Industrial;31;Fatec Guarulhos;2022;2;Noite;40;169;4.23;60.173;88.275
245;Gestão Empresarial;31;Fatec Guarulhos;2022;2;EaD;20;232;11.60;72.875;91.530
179;Logística;31;Fatec Guarulhos;2022;2;Tarde;40;39;0.98;37.855;82.500
179;Logística;31;Fatec Guarulhos;2022;2;Noite;40;251;6.28;66.275;85.033
208;Logística Aeroportuária;31;Fatec Guarulhos;2022;2;Manhã;40;67;1.68;39.268;89.750
194;Análise e Desenvolvimento de Sistemas;9;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;Noite;40;406;10.15;78.650;93.790
274;Comércio Exterior;9;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;Noite;40;137;3.43;63.800;94.250
253;Gestão de Serviços;9;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;Manhã;40;64;1.60;40.170;86.000
245;Gestão Empresarial;9;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;Tarde;40;67;1.68;47.000;93.225
245;Gestão Empresarial;9;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;Noite;40;202;5.05;66.825;92.095
245;Gestão Empresarial;9;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;EaD;20;157;7.85;72.600;100.000
208;Logística Aeroportuária;9;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;Manhã;40;65;1.63;36.850;84.975
222;Redes de Computadores;9;Fatec Indaiatuba - Dr. Archimedes Lammoglia;2022;2;Manhã;40;65;1.63;45.250;82.225
75;Agronegócio;27;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;Noite;40;78;1.95;45.200;79.250
194;Análise e Desenvolvimento de Sistemas;27;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;Manhã;40;63;1.58;49.775;96.525
194;Análise e Desenvolvimento de Sistemas;27;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;Noite;40;161;4.03;67.375;97.350
274;Comércio Exterior;27;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;Manhã;40;47;1.18;38.250;70.400
274;Comércio Exterior;27;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;Noite;40;57;1.43;43.175;88.550
226;Gestão Ambiental;27;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;Manhã;40;44;1.10;31.350;83.750
94;Gestão da Produção Industrial;27;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;Noite;40;92;2.30;50.325;77.688
245;Gestão Empresarial;27;Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende;2022;2;EaD;20;104;5.20;68.750;86.075
275;Desenvolvimento de Software Multiplataforma;63;Fatec Itapira - Ogari de Castro Pacheco;2022;2;Noite;40;78;1.95;56.100;89.650
94;Gestão da Produção Industrial;63;Fatec Itapira - Ogari de Castro Pacheco;2022;2;Noite;40;55;1.38;42.250;82.775
245;Gestão Empresarial;63;Fatec Itapira - Ogari de Castro Pacheco;2022;2;Noite;40;58;1.45;39.140;89.500
186;Gestão Comercial;22;Fatec Itaquaquecetuba;2022;2;Noite;40;130;3.25;62.433;86.350
186;Gestão Comercial;22;Fatec Itaquaquecetuba;2022;2;Tarde;40;32;0.80;30.800;76.725
97;Gestão da Tecnologia da Informação;22;Fatec Itaquaquecetuba;2022;2;Manhã;40;100;2.50;57.065;90.200
245;Gestão Empresarial;22;Fatec Itaquaquecetuba;2022;2;EaD;20;141;7.05;69.250;89.100
165;Secretariado;22;Fatec Itaquaquecetuba;2022;2;Noite;40;44;1.10;33.750;79.475
165;Secretariado;22;Fatec Itaquaquecetuba;2022;2;Manhã;40;28;0.70;24.578;78.818
275;Desenvolvimento de Software Multiplataforma;66;Fatec Itatiba;2022;2;Tarde;0;0;0;0;0
94;Gestão da Produção Industrial;66;Fatec Itatiba;2022;2;Noite;40;62;1.55;44.918;92.125
245;Gestão Empresarial;66;Fatec Itatiba;2022;2;Manhã;0;0;0;0;0
194;Análise e Desenvolvimento de Sistemas;39;Fatec Itu - Dom Amaury Castanho;2022;2;Manhã;40;91;2.28;58.300;92.250
163;Eventos;39;Fatec Itu - Dom Amaury Castanho;2022;2;Noite;40;38;0.95;23.448;88.275
97;Gestão da Tecnologia da Informação;39;Fatec Itu - Dom Amaury Castanho;2022;2;Noite;40;109;2.73;59.125;84.000
245;Gestão Empresarial;39;Fatec Itu - Dom Amaury Castanho;2022;2;Manhã;40;41;1.03;28.000;75.145
245;Gestão Empresarial;39;Fatec Itu - Dom Amaury Castanho;2022;2;EaD;20;68;3.40;62.998;84.425
111;Mecatrônica Industrial;39;Fatec Itu - Dom Amaury Castanho;2022;2;Manhã;40;49;1.23;25.708;82.775
125;Biocombustíveis;36;Fatec Jaboticabal - Nilo de Stéfani;2022;2;Manhã;40;52;1.30;18.928;69.495
125;Biocombustíveis;36;Fatec Jaboticabal - Nilo de Stéfani;2022;2;Noite;40;55;1.38;32.750;87.000
226;Gestão Ambiental;36;Fatec Jaboticabal - Nilo de Stéfani;2022;2;Noite;40;43;1.08;17.000;78.925
245;Gestão Empresarial;36;Fatec Jaboticabal - Nilo de Stéfani;2022;2;EaD;20;76;3.80;66.825;87.250
259;Marketing;36;Fatec Jaboticabal - Nilo de Stéfani;2022;2;Manhã;40;45;1.13;24.200;84.468
257;Geoprocessamento;52;Fatec Jacareí- Prof. Francisco de Moura;2022;2;Noite;40;62;1.55;46.865;95.425
149;Meio Ambiente e Recursos Hídricos;52;Fatec Jacareí- Prof. Francisco de Moura;2022;2;Manhã;40;49;1.23;35.200;78.100
75;Agronegócio;32;Fatec Jales - Prof. José Camargo;2022;2;Noite;40;63;1.58;38.250;74.525
194;Análise e Desenvolvimento de Sistemas;32;Fatec Jales - Prof. José Camargo;2022;2;Manhã;40;66;1.65;48.400;86.075
245;Gestão Empresarial;32;Fatec Jales - Prof. José Camargo;2022;2;EaD;20;45;2.25;42.075;84.750
245;Gestão Empresarial;32;Fatec Jales - Prof. José Camargo;2022;2;Noite;40;67;1.68;46.750;83.325
197;Sistemas para Internet;32;Fatec Jales - Prof. José Camargo;2022;2;Noite;40;71;1.78;55.550;87.725
90;Construção Naval;5;Fatec Jahu;2022;2;Manhã;40;62;1.55;19.525;81.125
94;Gestão da Produção Industrial;5;Fatec Jahu;2022;2;Noite;40;77;1.93;42.625;74.598
97;Gestão da Tecnologia da Informação;5;Fatec Jahu;2022;2;Noite;40;100;2.50;58.575;100.000
245;Gestão Empresarial;5;Fatec Jahu;2022;2;EaD;20;87;4.35;64.750;81.400
179;Logística;5;Fatec Jahu;2022;2;Noite;40;72;1.80;50.285;85.525
149;Meio Ambiente e Recursos Hídricos;5;Fatec Jahu;2022;2;Manhã;40;61;1.53;48.750;90.500
109;Sistemas Navais;5;Fatec Jahu;2022;2;Manhã;40;63;1.58;33.900;69.575
197;Sistemas para Internet;5;Fatec Jahu;2022;2;Manhã;40;62;1.55;45.100;84.750
194;Análise e Desenvolvimento de Sistemas;12;Fatec Jundiaí - Deputado Ary Fossen;2022;2;Tarde;40;195;4.88;72.875;94.355
278;Defesa Cibernética;12;Fatec Jundiaí - Deputado Ary Fossen;2022;2;Noite;40;178;4.45;74.000;93.225
163;Eventos;12;Fatec Jundiaí - Deputado Ary Fossen;2022;2;Manhã;40;34;0.85;38.703;80.000
226;Gestão Ambiental;12;Fatec Jundiaí - Deputado Ary Fossen;2022;2;Tarde;40;30;0.75;41.528;94.600
97;Gestão da Tecnologia da Informação;12;Fatec Jundiaí - Deputado Ary Fossen;2022;2;Noite;40;216;5.40;71.500;93.508
245;Gestão Empresarial;12;Fatec Jundiaí - Deputado Ary Fossen;2022;2;EaD;20;235;11.75;78.375;94.355
179;Logística;12;Fatec Jundiaí - Deputado Ary Fossen;2022;2;Noite;40;161;4.03;64.625;90.965
179;Logística;12;Fatec Jundiaí - Deputado Ary Fossen;2022;2;Manhã;40;82;2.05;55.000;86.350
273;Sistemas Embarcados;12;Fatec Jundiaí - Deputado Ary Fossen;2022;2;Manhã;40;54;1.35;44.825;93.775
194;Análise e Desenvolvimento de Sistemas;44;Fatec Lins - Prof. Antonio Seabra;2022;2;Noite;40;110;2.75;56.218;85.250
94;Gestão da Produção Industrial;44;Fatec Lins - Prof. Antonio Seabra;2022;2;Manhã;40;57;1.43;29.945;66.000
269;Gestão da Qualidade;44;Fatec Lins - Prof. Antonio Seabra;2022;2;Noite;40;65;1.63;41.800;78.535
245;Gestão Empresarial;44;Fatec Lins - Prof. Antonio Seabra;2022;2;EaD;20;59;2.95;62.830;90.200
179;Logística;44;Fatec Lins - Prof. Antonio Seabra;2022;2;Noite;40;58;1.45;39.833;85.250
197;Sistemas para Internet;44;Fatec Lins - Prof. Antonio Seabra;2022;2;Manhã;40;56;1.40;34.000;71.500
76;Alimentos;24;Fatec Marília - Estudante Rafael Almeida Camarinha;2022;2;Manhã;40;67;1.68;18.150;74.750
76;Alimentos;24;Fatec Marília - Estudante Rafael Almeida Camarinha;2022;2;Noite;40;62;1.55;37.125;74.750
186;Gestão Comercial;24;Fatec Marília - Estudante Rafael Almeida Camarinha;2022;2;Noite;40;64;1.60;43.788;75.428
245;Gestão Empresarial;24;Fatec Marília - Estudante Rafael Almeida Camarinha;2022;2;EaD;20;91;4.55;66.000;82.775
266;Análise de Processos Agroindustriais;73;Fatec Matão - Luiz Marchesan;2022;2;Noite;40;122;3.05;54.523;79.200
275;Desenvolvimento de Software Multiplataforma;73;Fatec Matão - Luiz Marchesan;2022;2;Manhã;40;81;2.03;58.575;93.508
267;Desenvolvimento de Produtos Plásticos;11;Fatec Mauá;2022;2;Manhã;0;0;0;0;0
275;Desenvolvimento de Software Multiplataforma;11;Fatec Mauá;2022;2;Noite;40;309;7.73;77.825;100.000
240;Fabricação Mecânica;11;Fatec Mauá;2022;2;Manhã;40;54;1.35;33.218;87.858
240;Fabricação Mecânica;11;Fatec Mauá;2022;2;Noite;40;113;2.83;56.500;77.508
245;Gestão Empresarial;11;Fatec Mauá;2022;2;EaD;20;159;7.95;72.885;91.300
100;Informática para Negócios;11;Fatec Mauá;2022;2;Noite;40;103;2.58;60.500;89.270
100;Informática para Negócios;11;Fatec Mauá;2022;2;Manhã;40;57;1.43;48.219;83.620
179;Logística;11;Fatec Mauá;2022;2;Manhã;40;61;1.53;45.100;85.315
179;Logística;11;Fatec Mauá;2022;2;Noite;40;186;4.65;66.105;89.100
234;Polímeros;11;Fatec Mauá;2022;2;Noite;40;66;1.65;45.750;92.943
75;Agronegócio;16;Fatec Mococa;2022;2;Noite;40;64;1.60;29.000;78.818
194;Análise e Desenvolvimento de Sistemas;16;Fatec Mococa;2022;2;Noite;40;109;2.73;61.875;93.775
97;Gestão da Tecnologia da Informação;16;Fatec Mococa;2022;2;Manhã;40;54;1.35;30.800;91.025
245;Gestão Empresarial;16;Fatec Mococa;2022;2;Noite;40;98;2.45;54.725;97.350
245;Gestão Empresarial;16;Fatec Mococa;2022;2;EaD;20;72;3.60;67.925;94.875
75;Agronegócio;45;Fatec Mogi das Cruzes;2022;2;Noite;40;95;2.38;55.825;88.423
75;Agronegócio;45;Fatec Mogi das Cruzes;2022;2;Tarde;40;51;1.28;24.200;80.250
194;Análise e Desenvolvimento de Sistemas;45;Fatec Mogi das Cruzes;2022;2;Noite;40;539;13.48;81.000;100.000
194;Análise e Desenvolvimento de Sistemas;45;Fatec Mogi das Cruzes;2022;2;Tarde;40;185;4.63;75.428;100.000
224;Gestão de Recursos Humanos;45;Fatec Mogi das Cruzes;2022;2;Manhã;40;87;2.18;51.698;81.000
245;Gestão Empresarial;45;Fatec Mogi das Cruzes;2022;2;EaD;20;231;11.55;74.015;94.875
179;Logística;45;Fatec Mogi das Cruzes;2022;2;Manhã;40;79;1.98;55.000;88.750
194;Análise e Desenvolvimento de Sistemas;30;Fatec Mogi Mirim - Arthur de Azevedo;2022;2;Noite;40;241;6.03;75.900;100.000
194;Análise e Desenvolvimento de Sistemas;30;Fatec Mogi Mirim - Arthur de Azevedo;2022;2;Manhã;40;77;1.93;57.200;85.000
240;Fabricação Mecânica;30;Fatec Mogi Mirim - Arthur de Azevedo;2022;2;Manhã;40;49;1.23;29.150;86.445
245;Gestão Empresarial;30;Fatec Mogi Mirim - Arthur de Azevedo;2022;2;EaD;20;162;8.10;74.250;92.950
111;Mecatrônica Industrial;30;Fatec Mogi Mirim - Arthur de Azevedo;2022;2;Tarde;40;45;1.13;27.225;88.275
235;Projetos Mecânicos;30;Fatec Mogi Mirim - Arthur de Azevedo;2022;2;Noite;40;86;2.15;50.600;83.325
92;Automação Industrial;49;Fatec Osasco - Pref. Hirant Sanazar;2022;2;Manhã;40;74;1.85;49.500;89.100
92;Automação Industrial;49;Fatec Osasco - Pref. Hirant Sanazar;2022;2;Noite;40;217;5.43;67.375;98.310
275;Desenvolvimento de Software Multiplataforma;49;Fatec Osasco - Pref. Hirant Sanazar;2022;2;Noite;40;292;7.30;76.000;93.775
